10248,2003-07-04 00:00:00,11,12,14,168,Queso Cabrales,Dairy Products
10248,2003-07-04 00:00:00,42,10,9.8,98,Singaporean Hokkien Fried Mee,Grains/Cereals
10248,2003-07-04 00:00:00,72,5,34.8,174,Mozzarella di Giovanni,Dairy Products
10249,2003-07-05 00:00:00,14,9,18.6,167.39999,Tofu,Produce
10249,2003-07-05 00:00:00,51,40,42.4,1696,Manjimup Dried Apples,Produce
10250,2003-07-08 00:00:00,41,10,7.7,77,Jack's New England Clam Chowder,Seafood
10250,2003-07-08 00:00:00,51,35,42.4,1261.4,Manjimup Dried Apples,Produce
10250,2003-07-08 00:00:00,65,15,16.8,214.20001,Louisiana Fiery Hot Pepper Sauce,Condiments
10251,2003-07-08 00:00:00,22,6,16.8,95.760002,Gustaf's Knäckebröd,Grains/Cereals
10251,2003-07-08 00:00:00,57,15,15.6,222.3,Ravioli Angelo,Grains/Cereals
10251,2003-07-08 00:00:00,65,20,16.8,336,Louisiana Fiery Hot Pepper Sauce,Condiments
10252,2003-07-09 00:00:00,20,40,64.8,2462.3999,Sir Rodney's Marmalade,Confections
10252,2003-07-09 00:00:00,33,25,2,47.5,Geitost,Dairy Products
10252,2003-07-09 00:00:00,60,40,27.2,1088,Camembert Pierrot,Dairy Products
10253,2003-07-10 00:00:00,31,20,10,200,Gorgonzola Telino,Dairy Products
10253,2003-07-10 00:00:00,39,42,14.4,604.79999,Chartreuse verte,Beverages
10253,2003-07-10 00:00:00,49,40,16,640,Maxilaku,Confections
10254,2003-07-11 00:00:00,24,15,3.6,45.900002,Guaraná Fantástica,Beverages
10254,2003-07-11 00:00:00,55,21,19.2,342.72003,Pâté chinois,Meat/Poultry
10254,2003-07-11 00:00:00,74,21,8,168,Longlife Tofu,Produce
10255,2003-07-12 00:00:00,2,20,15.2,304,Chang,Beverages
10255,2003-07-12 00:00:00,16,35,13.9,486.5,Pavlova,Confections
10255,2003-07-12 00:00:00,36,25,15.2,380,Inlagd Sill,Seafood
10255,2003-07-12 00:00:00,59,30,44,1320,Raclette Courdavault,Dairy Products
10256,2003-07-15 00:00:00,53,15,26.2,393,Perth Pasties,Meat/Poultry
10256,2003-07-15 00:00:00,77,12,10.4,124.8,Original Frankfurter grüne Soße,Condiments
10257,2003-07-16 00:00:00,27,25,35.1,877.5,Schoggi Schokolade,Confections
10257,2003-07-16 00:00:00,39,6,14.4,86.400002,Chartreuse verte,Beverages
10257,2003-07-16 00:00:00,77,15,10.4,156,Original Frankfurter grüne Soße,Condiments
10258,2003-07-17 00:00:00,2,50,15.2,608,Chang,Beverages
10258,2003-07-17 00:00:00,5,65,17,884,Chef Anton's Gumbo Mix,Condiments
10258,2003-07-17 00:00:00,32,6,25.6,122.88,Mascarpone Fabioli,Dairy Products
10259,2003-07-18 00:00:00,21,10,8,80,Sir Rodney's Scones,Confections
10259,2003-07-18 00:00:00,37,1,20.8,20.799999,Gravad lax,Seafood
10260,2003-07-19 00:00:00,41,16,7.7,92.399994,Jack's New England Clam Chowder,Seafood
10260,2003-07-19 00:00:00,57,50,15.6,780,Ravioli Angelo,Grains/Cereals
10260,2003-07-19 00:00:00,62,15,39.4,443.25,Tarte au sucre,Confections
10260,2003-07-19 00:00:00,70,21,12,189,Outback Lager,Beverages
10261,2003-07-19 00:00:00,21,20,8,160,Sir Rodney's Scones,Confections
10261,2003-07-19 00:00:00,35,20,14.4,288,Steeleye Stout,Beverages
10262,2003-07-22 00:00:00,5,12,17,163.2,Chef Anton's Gumbo Mix,Condiments
10262,2003-07-22 00:00:00,7,15,24,360,Uncle Bob's Organic Dried Pears,Produce
10262,2003-07-22 00:00:00,56,2,30.4,60.799999,Gnocchi di nonna Alice,Grains/Cereals
10263,2003-07-23 00:00:00,16,60,13.9,625.5,Pavlova,Confections
10263,2003-07-23 00:00:00,24,28,3.6,100.8,Guaraná Fantástica,Beverages
10263,2003-07-23 00:00:00,30,60,20.7,931.5,Nord-Ost Matjeshering,Seafood
10263,2003-07-23 00:00:00,74,36,8,216,Longlife Tofu,Produce
10264,2003-07-24 00:00:00,2,35,15.2,532,Chang,Beverages
10264,2003-07-24 00:00:00,41,25,7.7,163.625,Jack's New England Clam Chowder,Seafood
10265,2003-07-25 00:00:00,17,30,31.2,936,Alice Mutton,Meat/Poultry
10265,2003-07-25 00:00:00,70,20,12,240,Outback Lager,Beverages
10266,2003-07-26 00:00:00,12,12,30.4,346.56,Queso Manchego La Pastora,Dairy Products
10267,2003-07-29 00:00:00,40,50,14.7,735,Boston Crab Meat,Seafood
10267,2003-07-29 00:00:00,59,70,44,2618,Raclette Courdavault,Dairy Products
10267,2003-07-29 00:00:00,76,15,14.4,183.60001,Lakkalikööri,Beverages
10268,2003-07-30 00:00:00,29,10,99,990,Thüringer Rostbratwurst,Meat/Poultry
10268,2003-07-30 00:00:00,72,4,27.8,111.2,Mozzarella di Giovanni,Dairy Products
10269,2003-07-31 00:00:00,33,60,2,114,Geitost,Dairy Products
10269,2003-07-31 00:00:00,72,20,27.8,528.20001,Mozzarella di Giovanni,Dairy Products
10270,2003-08-01 00:00:00,36,30,15.2,456,Inlagd Sill,Seafood
10270,2003-08-01 00:00:00,43,25,36.8,920,Ipoh Coffee,Beverages
10271,2003-08-01 00:00:00,33,24,2,48,Geitost,Dairy Products
10272,2003-08-02 00:00:00,20,6,64.8,388.79999,Sir Rodney's Marmalade,Confections
10272,2003-08-02 00:00:00,31,40,10,400,Gorgonzola Telino,Dairy Products
10272,2003-08-02 00:00:00,72,24,27.8,667.20001,Mozzarella di Giovanni,Dairy Products
10273,2003-08-05 00:00:00,10,24,24.8,565.44,Ikura,Seafood
10273,2003-08-05 00:00:00,31,15,10,142.5,Gorgonzola Telino,Dairy Products
10273,2003-08-05 00:00:00,33,20,2,40,Geitost,Dairy Products
10273,2003-08-05 00:00:00,40,60,14.7,837.89996,Boston Crab Meat,Seafood
10273,2003-08-05 00:00:00,76,33,14.4,451.44,Lakkalikööri,Beverages
10274,2003-08-06 00:00:00,71,20,17.2,344,Flotemysost,Dairy Products
10274,2003-08-06 00:00:00,72,7,27.8,194.60001,Mozzarella di Giovanni,Dairy Products
10275,2003-08-07 00:00:00,24,12,3.6,41.040001,Guaraná Fantástica,Beverages
10275,2003-08-07 00:00:00,59,6,44,250.8,Raclette Courdavault,Dairy Products
10276,2003-08-08 00:00:00,10,15,24.8,372,Ikura,Seafood
10276,2003-08-08 00:00:00,13,10,4.8,48,Konbu,Seafood
10277,2003-08-09 00:00:00,28,20,36.4,728,Rössle Sauerkraut,Produce
10277,2003-08-09 00:00:00,62,12,39.4,472.79999,Tarte au sucre,Confections
10278,2003-08-12 00:00:00,44,16,15.5,248,Gula Malacca,Condiments
10278,2003-08-12 00:00:00,59,15,44,660,Raclette Courdavault,Dairy Products
10278,2003-08-12 00:00:00,63,8,35.1,280.79999,Vegie-spread,Condiments
10278,2003-08-12 00:00:00,73,25,12,300,Röd Kaviar,Seafood
10279,2003-08-13 00:00:00,17,15,31.2,351,Alice Mutton,Meat/Poultry
10280,2003-08-14 00:00:00,24,12,3.6,43.200001,Guaraná Fantástica,Beverages
10280,2003-08-14 00:00:00,55,20,19.2,384,Pâté chinois,Meat/Poultry
10280,2003-08-14 00:00:00,75,30,6.2,186,Rhönbräu Klosterbier,Beverages
10281,2003-08-14 00:00:00,19,1,7.3,7.3000002,Teatime Chocolate Biscuits,Confections
10281,2003-08-14 00:00:00,24,6,3.6,21.6,Guaraná Fantástica,Beverages
10281,2003-08-14 00:00:00,35,4,14.4,57.599998,Steeleye Stout,Beverages
10282,2003-08-15 00:00:00,30,6,20.7,124.2,Nord-Ost Matjeshering,Seafood
10282,2003-08-15 00:00:00,57,2,15.6,31.200001,Ravioli Angelo,Grains/Cereals
10283,2003-08-16 00:00:00,15,20,12.4,248,Genen Shouyu,Condiments
10283,2003-08-16 00:00:00,19,18,7.3,131.39999,Teatime Chocolate Biscuits,Confections
10283,2003-08-16 00:00:00,60,35,27.2,952,Camembert Pierrot,Dairy Products
10283,2003-08-16 00:00:00,72,3,27.8,83.400002,Mozzarella di Giovanni,Dairy Products
10284,2003-08-19 00:00:00,27,15,35.1,394.875,Schoggi Schokolade,Confections
10284,2003-08-19 00:00:00,44,21,15.5,325.5,Gula Malacca,Condiments
10284,2003-08-19 00:00:00,60,20,27.2,408,Camembert Pierrot,Dairy Products
10284,2003-08-19 00:00:00,67,5,11.2,42,Laughing Lumberjack Lager,Beverages
10285,2003-08-20 00:00:00,1,45,14.4,518.40002,Chai,Beverages
10285,2003-08-20 00:00:00,40,40,14.7,470.39999,Boston Crab Meat,Seafood
10285,2003-08-20 00:00:00,53,36,26.2,754.56,Perth Pasties,Meat/Poultry
10286,2003-08-21 00:00:00,35,100,14.4,1440,Steeleye Stout,Beverages
10286,2003-08-21 00:00:00,62,40,39.4,1576,Tarte au sucre,Confections
10287,2003-08-22 00:00:00,16,40,13.9,472.60001,Pavlova,Confections
10287,2003-08-22 00:00:00,34,20,11.2,224,Sasquatch Ale,Beverages
10287,2003-08-22 00:00:00,46,15,9.6,122.4,Spegesild,Seafood
10288,2003-08-23 00:00:00,54,10,5.9,53.099998,Tourtière,Meat/Poultry
10288,2003-08-23 00:00:00,68,3,10,27,Scottish Longbreads,Confections
10289,2003-08-26 00:00:00,3,30,8,240,Aniseed Syrup,Condiments
10289,2003-08-26 00:00:00,64,9,26.6,239.39999,Wimmers gute Semmelknödel,Grains/Cereals
10290,2003-08-27 00:00:00,5,20,17,340,Chef Anton's Gumbo Mix,Condiments
10290,2003-08-27 00:00:00,29,15,99,1485,Thüringer Rostbratwurst,Meat/Poultry
10290,2003-08-27 00:00:00,49,15,16,240,Maxilaku,Confections
10290,2003-08-27 00:00:00,77,10,10.4,104,Original Frankfurter grüne Soße,Condiments
10291,2003-08-27 00:00:00,13,20,4.8,86.399994,Konbu,Seafood
10291,2003-08-27 00:00:00,44,24,15.5,334.79999,Gula Malacca,Condiments
10291,2003-08-27 00:00:00,51,2,42.4,76.32,Manjimup Dried Apples,Produce
10292,2003-08-28 00:00:00,20,20,64.8,1296,Sir Rodney's Marmalade,Confections
10293,2003-08-29 00:00:00,18,12,50,600,Carnarvon Tigers,Seafood
10293,2003-08-29 00:00:00,24,10,3.6,36,Guaraná Fantástica,Beverages
10293,2003-08-29 00:00:00,63,5,35.1,175.5,Vegie-spread,Condiments
10293,2003-08-29 00:00:00,75,6,6.2,37.200001,Rhönbräu Klosterbier,Beverages
10294,2003-08-30 00:00:00,1,18,14.4,259.20001,Chai,Beverages
10294,2003-08-30 00:00:00,17,15,31.2,468,Alice Mutton,Meat/Poultry
10294,2003-08-30 00:00:00,43,15,36.8,552,Ipoh Coffee,Beverages
